Phylum ,Abundance,Station ,Type 
Lentisphaerae,0.594274991,4,CIL_PA
Plantomycetes,12.10865368,4,CIL_PA
Verrucomicrobia,6.807696704,4,CIL_PA
Unclassified_Bacteria,1.301029155,4,CIL_PA
Alphaproteobacteria,4.814896175,5,CIL_PA
Betaproteobacteria,0.709892244,5,CIL_PA
Gammaproteobacteria,25.18903483,5,CIL_PA
Deltaproteobacteria,25.18903483,5,CIL_PA
Actinobacteria,1.35388244,5,CIL_PA
Bacteroidetes,14.85455302,5,CIL_PA
Chlamydiae,0.352055682,5,CIL_PA
Chloroflexi,0.005780882,5,CIL_PA
Cyanobacteria,4.452434907,5,CIL_PA
Deferribacteres,0.005780882,5,CIL_PA
Lentisphaerae,0.797183554,5,CIL_PA
Plantomycetes,10.82759099,5,CIL_PA
Verrucomicrobia,9.212990797,5,CIL_PA
Unclassified_Bacteria,1.582805346,5,CIL_PA
Alphaproteobacteria,6.721572632,6,CIL_PA
Betaproteobacteria,1.035176312,6,CIL_PA
Gammaproteobacteria,23.18167559,6,CIL_PA
Deltaproteobacteria,23.18167559,6,CIL_PA
Actinobacteria,1.248608386,6,CIL_PA
Bacteroidetes,10.29517594,6,CIL_PA
Chlamydiae,0.354284941,6,CIL_PA
Chloroflexi,0.014761872,6,CIL_PA
Cyanobacteria,1.150195903,6,CIL_PA
Deferribacteres,0.002460312,6,CIL_PA
Lentisphaerae,0.842656891,6,CIL_PA
Plantomycetes,19.8762463,6,CIL_PA
Verrucomicrobia,11.45951864,6,CIL_PA
Unclassified_Bacteria,0.290931904,6,CIL_PA
Alphaproteobacteria,5.74344304,7,CIL_PA
Betaproteobacteria,0.467617489,7,CIL_PA
Gammaproteobacteria,17.15537279,7,CIL_PA
Deltaproteobacteria,17.15537279,7,CIL_PA
Actinobacteria,1.962618108,7,CIL_PA
Bacteroidetes,11.78189771,7,CIL_PA
Chlamydiae,0.255814273,7,CIL_PA
Chloroflexi,0.087334443,7,CIL_PA
Cyanobacteria,0.844462171,7,CIL_PA
Deferribacteres,0.127907137,7,CIL_PA
Lentisphaerae,1.258441183,7,CIL_PA
Plantomycetes,32.62457193,7,CIL_PA
Verrucomicrobia,8.769203263,7,CIL_PA
Unclassified_Bacteria,1.388411338,7,CIL_PA
Alphaproteobacteria,7.306596064,8,CIL_PA
Betaproteobacteria,0.657174891,8,CIL_PA
Gammaproteobacteria,20.76821246,8,CIL_PA
Deltaproteobacteria,20.76821246,8,CIL_PA
Actinobacteria,1.810101447,8,CIL_PA
Bacteroidetes,14.50174932,8,CIL_PA
Chlamydiae,0.56734523,8,CIL_PA
Chloroflexi,0.058085345,8,CIL_PA
Cyanobacteria,0.296505423,8,CIL_PA
Deferribacteres,0.016885275,8,CIL_PA
Lentisphaerae,0.742952086,8,CIL_PA
Plantomycetes,21.81307325,8,CIL_PA
Verrucomicrobia,9.532075266,8,CIL_PA
Unclassified_Bacteria,0.690270029,8,CIL_PA
Alphaproteobacteria,6.024466173,10,CIL_PA
Betaproteobacteria,0.81115447,10,CIL_PA
Gammaproteobacteria,21.9105663,10,CIL_PA
Deltaproteobacteria,21.9105663,10,CIL_PA
Actinobacteria,2.168507162,10,CIL_PA
Bacteroidetes,10.41284317,10,CIL_PA
Chlamydiae,0.697780756,10,CIL_PA
Chloroflexi,0.016912101,10,CIL_PA
Cyanobacteria,2.737254853,10,CIL_PA
Deferribacteres,0.015659353,10,CIL_PA
Lentisphaerae,1.125594273,10,CIL_PA
Plantomycetes,21.52910447,10,CIL_PA
Verrucomicrobia,9.723205285,10,CIL_PA
Unclassified_Bacteria,0.399000307,10,CIL_PA
